Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,192,10000
2,0,4,387,10000
3,0,3,590,10000
4,0,4,789,10000
5,0,2,992,10000
6,0,2,1171,10000
7,0,3,1359,10000
8,0,4,1553,10000
9,0,52,1689,10000
10,0,236,1689,10000
11,0,145,1953,10000
12,0,323,1953,10000
13,0,461,1993,10000
14,0,514,2121,10000
15,0,690,2121,0
16,0,546,2426,0
17,0,720,2426,0
18,0,858,2474,0
19,0,888,2624,0
20,0,1069,2624,0
21,0,981,2851,0
22,0,1158,2851,0
23,0,1285,2902,0
24,0,1279,3062,0
25,0,1454,3062,0
26,0,1343,3325,0
27,0,1514,3325,0
28,0,1641,3369,0
29,0,1659,3510,0
30,0,1823,3510,0
31,0,1756,3735,0
32,0,1920,3735,0
33,0,2040,3786,0
34,0,1741,4235,0
35,0,1899,4235,0
36,0,1609,4671,0
37,0,1776,4671,0
38,19,1857,4736,0
39,19,1719,5018,0
40,28,1870,5009,0
41,28,1595,5436,0
42,28,1678,5506,0
43,43,1777,5535,0
44,43,1587,5874,0
45,66,1746,5851,0
46,66,1436,6299,0
47,69,1586,6296,0
48,69,1668,6371,0
49,69,1394,6792,0
50,69,1543,6792,0
51,69,1306,7159,0
52,69,1446,7159,0
53,69,1556,7202,0
54,69,1373,7532,0
55,69,1523,7532,0
56,69,1167,8021,0
57,69,1242,8086,0
58,69,1333,8134,0
59,69,1120,8493,0
60,69,1252,8493,0
61,69,1040,8844,0
62,69,1006,8925,0
63,69,998,8933,0
64,69,735,9196,0
65,69,582,9349,0
66,69,448,9483,10000
67,69,325,9606,10000
68,80,272,9648,10000
69,80,223,9697,10000
70,80,202,9718,10000
71,80,180,9740,10000
72,96,163,9741,10000
73,100,155,9745,10000
74,100,120,9780,10000
75,100,120,9780,10000
76,100,83,9817,10000
77,100,61,9839,10000
78,100,55,9845,10000
79,100,0,9900,10000
80,100,0,9900,10000
81,100,0,9900,10000
82,100,0,9900,10000
83,100,0,9900,10000
84,100,0,9900,10000
85,100,0,9900,10000
86,100,0,9900,10000
87,100,0,9900,10000
88,100,0,9900,10000
89,100,0,9900,10000
90,100,0,9900,10000
91,100,0,9900,10000
