Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,4,8,10000
2,0,4,17,10000
3,0,4,27,10000
4,0,4,36,10000
5,0,4,46,0
6,0,4,55,0
7,0,7,61,0
8,0,10,68,0
9,0,9,79,10000
10,0,18,79,10000
11,0,16,91,10000
12,0,26,91,10000
13,0,30,96,10000
14,0,34,102,10000
15,0,44,102,0
16,0,36,119,0
17,0,44,121,0
18,0,46,129,0
19,0,49,135,0
20,0,59,135,0
21,0,56,148,0
22,0,65,148,0
23,0,69,154,0
24,0,73,159,0
25,0,83,159,0
26,0,92,160,0
27,0,83,179,0
28,0,89,182,0
29,0,93,188,0
30,2,102,186,0
31,2,111,186,0
32,3,108,198,0
33,3,108,208,0
34,3,106,219,0
35,7,116,215,0
36,7,112,229,0
37,8,121,228,0
38,9,118,240,0
39,9,108,260,10000
40,11,117,258,10000
41,13,112,271,10000
42,15,122,269,10000
43,16,122,277,10000
44,16,123,285,10000
45,16,129,289,10000
46,16,125,303,10000
47,16,131,306,10000
48,17,137,309,10000
49,17,135,320,10000
50,17,145,320,0
51,17,153,322,0
52,17,155,329,0
53,17,162,332,0
54,17,167,336,0
55,18,177,335,0
56,18,185,336,0
57,18,195,336,0
58,18,205,336,0
59,18,215,336,0
60,18,224,336,0
61,18,234,336,0
62,18,243,336,0
63,18,253,336,0
64,18,263,336,0
65,18,272,336,0
66,18,282,336,0
67,18,291,336,0
68,18,301,336,0
69,18,311,336,0
70,18,321,336,0
71,19,330,335,0
72,20,340,334,0
73,20,346,337,0
74,20,350,342,0
75,20,360,342,0
76,20,370,342,0
77,20,379,342,0
78,20,387,344,0
79,20,397,344,0
80,20,406,344,0
81,20,416,344,0
82,20,426,344,0
83,20,435,344,0
84,20,445,344,0
85,20,454,344,0
86,20,464,344,0
87,20,473,344,0
88,20,483,344,0
89,20,493,344,0
90,20,502,344,0
91,20,512,344,0
